Date,Portfolio
2016-01-05,0.0010740415510227897
2016-01-06,-0.00518604182706345
2016-01-07,-0.015697823241791156
2016-01-08,-0.007328327750239535
2016-01-11,-0.00284343999853409
2016-01-12,0.0038102004423989097
2016-01-13,-0.01054174221510735
2016-01-14,0.005088722743232264
2016-01-15,-0.01797918999027696
2016-01-19,0.0051029811629247
2016-01-20,-0.005747665298675854
2016-01-21,0.0019501740043297248
2016-01-22,0.017552351533116066
2016-01-25,-0.007446219302599719
2016-01-26,0.01132160052666993
2016-01-27,-0.005718217392635364
2016-01-28,0.005820899103163834
2016-01-29,0.019684675501334754
2016-02-01,-0.0007360077459081145
2016-02-02,-0.015594569759510343
2016-02-03,0.011787981467050034
2016-02-04,0.006367845023336974
2016-02-05,-0.008202806716892943
2016-02-08,-0.003690725800963845
2016-02-09,-0.0057834689191985445
2016-02-10,0.0046884905144669595
2016-02-11,0.002466299681317269
2016-02-12,0.008199441109112004
2016-02-16,0.004766667052812163
2016-02-17,0.013538126442975546
2016-02-18,0.0028271650941970503
2016-02-19,-0.00266457503166786
2016-02-22,0.00860942073222103
2016-02-23,-0.0078093768098723695
2016-02-24,0.001934066096279635
2016-02-25,0.00544634170472908
2016-02-26,-0.006702044109704675
2016-02-29,0.004159505680671555
2016-03-01,0.01685778839760292
2016-03-02,0.007715704272302485
2016-03-03,0.00888578394002516
2016-03-04,0.00639948896536117
2016-03-07,-0.00012921153168816006
2016-03-08,-0.008987136146010129
2016-03-09,0.0011758625100237047
2016-03-10,0.00400181384769859
2016-03-11,0.006904263289460841
2016-03-14,-0.004989201512993895
2016-03-15,-0.0050461336903926245
2016-03-16,0.01494262512600415
2016-03-17,0.00795247502812506
2016-03-18,0.002201108387471135
2016-03-21,-0.0010117166895272202
2016-03-22,0.0002669195328662301
2016-03-23,-0.012848046113300213
2016-03-24,-0.001425194130095
2016-03-28,0.00174168774060962
2016-03-29,0.014180059873713156
2016-03-30,0.00039973757829358473
2016-03-31,0.0009666526530446951
2016-04-01,0.00032701826288843
2016-04-04,-0.006898055797180991
2016-04-05,-0.00555640641937559
2016-04-06,0.006018640994217509
2016-04-07,-0.006279744104393365
2016-04-08,0.005308179939019529
2016-04-11,0.006801878988187134
2016-04-12,0.0073332155851392735
2016-04-13,0.007248443427253615
2016-04-14,-0.005685940562405342
2016-04-15,1.2028987383449932e-05
2016-04-18,0.0026492278280134
2016-04-19,0.008417411427072984
2016-04-20,-0.0037116823668677497
2016-04-21,-0.0039555717373362335
2016-04-22,-0.007883158591733044
2016-04-25,-0.0021888060139932147
2016-04-26,0.0037815903735522747
2016-04-27,0.0029209054288073747
2016-04-28,-0.0017276738379312646
2016-04-29,0.0019453600048490902
2016-05-02,-0.000159626113910675
2016-05-03,-0.012066763051555572
2016-05-04,-0.008506497763275306
2016-05-05,0.00020091197027571
2016-05-06,0.0037135413620504095
2016-05-09,-0.00883140441743983
2016-05-10,0.011216707496996025
2016-05-11,-0.0007117662762701047
2016-05-12,-0.004008050501941945
2016-05-13,-0.0061105315217496545
2016-05-16,0.006861342103562054
2016-05-17,-0.0038831258185685344
2016-05-18,-0.008687109551605475
2016-05-19,-0.0046269017485426845
2016-05-20,0.005825440805109725
2016-05-23,-0.0015429957029469898
2016-05-24,0.0036622166772711296
2016-05-25,0.005205507894247851
2016-05-26,0.002476753330982435
2016-05-27,-0.0008973709348275301
2016-05-31,0.001611074264504515
2016-06-01,0.00025561745923979065
2016-06-02,0.0037467822010130245
2016-06-03,0.01240970593446851
2016-06-06,0.0043431991784290596
2016-06-07,0.003039287667591555
2016-06-08,0.0074801369994674256
2016-06-09,-0.00246756633895219
2016-06-10,-0.010613584371702317
2016-06-13,-0.005074664421430359
2016-06-14,-0.0012709836982904897
2016-06-15,0.005287719276766494
2016-06-16,-0.002528541727389781
2016-06-17,0.0011819230508875048
2016-06-20,0.005484110029675809
2016-06-21,-0.0017412980376008452
2016-06-22,0.0005686405521865651
2016-06-23,0.00963197287421406
2016-06-24,-0.019094582463766448
2016-06-27,-0.0064379496101936145
2016-06-28,0.013609711753460903
2016-06-29,0.014181525407963757
2016-06-30,0.008855444719472087
2016-07-01,0.009596107858469635
2016-07-05,-0.0062491056947994
2016-07-06,0.00281642406634423
2016-07-07,-0.0015314332659103985
2016-07-08,0.014237055845277485
2016-07-11,0.0014659174018357194
2016-07-12,0.0009002676562857447
2016-07-13,0.0024819151503513454
2016-07-14,0.00348158230668292
2016-07-15,-0.0030536820600497103
2016-07-18,0.004816194724289515
2016-07-19,-0.00341799575073973
2016-07-20,-2.207324468926999e-05
2016-07-21,0.001993333907306005
2016-07-22,0.002132532237379775
2016-07-25,-0.0057348375160383115
2016-07-26,0.00419430994011909
2016-07-27,0.007279965785992101
2016-07-28,-0.0001153224022176951
2016-07-29,0.00581078607694439
2016-08-01,-0.0006350877035590551
2016-08-02,-0.0036475641898932347
2016-08-03,0.0009665978773038449
2016-08-04,0.0036994995018344956
2016-08-05,0.0011401130647204541
2016-08-08,0.00219238819563038
2016-08-09,0.004797586778684045
2016-08-10,0.0008925038908396802
2016-08-11,0.003198218379660754
2016-08-12,-0.0010234194116175849
2016-08-15,0.004608937930721344
2016-08-16,-0.002219108646086765
2016-08-17,-0.0010280731666147296
2016-08-18,0.004971380447845975
2016-08-19,-0.00494941176980888
2016-08-22,-0.004108685047114664
2016-08-23,-0.0007800916482821349
2016-08-24,-0.00382626549138026
2016-08-25,-0.00066199337291352
2016-08-26,-0.004038409626199624
2016-08-29,0.00542165363676799
2016-08-30,-0.0045945418822454405
2016-08-31,-0.004845223430707714
2016-09-01,0.004195241834493746
2016-09-02,0.00854340811023315
2016-09-06,0.013707877212196004
2016-09-07,-0.0019533451034364135
2016-09-08,-0.00473420786709965
2016-09-09,-0.0227650881513402
