Date,EEM,GLD,QQQ,SPY,TLT
2016-01-05,0.002233181833421193,0.00281458831856644,-0.0017362715746556648,0.0016899251625201131,-0.004042534069575571
2016-01-06,-0.019305622759726613,0.014337487598989632,-0.00965247720513131,-0.012694306464804702,0.013385416315026571
2016-01-07,-0.03135053632259456,0.014040676150811138,-0.031814256144173894,-0.024283786224848537,0.0017925796288647585
2016-01-08,-0.01078546049624086,-0.0044375394222030354,-0.008234022761898462,-0.011037621846193309,0.004469263830817005
2016-01-11,-0.00033890947077483955,-0.008934594646018349,0.003071337712736341,0.0009898241035641829,-0.011003843345789638
2016-01-12,0.0020319789683144567,-0.0050729832368576954,0.011531224103195676,0.008035868622288184,0.014321940941337352
2016-01-13,-0.010542834366150519,0.004882048039545079,-0.03509812267262152,-0.025257121192023047,0.00980900921463984
2016-01-14,0.012907987015582024,-0.016367021706295802,0.02107168163891752,0.016283767287720824,-0.009405246204001752
2016-01-15,-0.040287996207542025,0.01023674024483427,-0.03152854004809763,-0.02169993200788923,0.015467235374021181
2016-01-19,0.014649860319553194,-0.0009612465570264486,0.002179222009963016,0.001330279399274519,-0.0031065093266570156
2016-01-20,-0.02205581225273351,0.013279386437522704,-0.00307220379335959,-0.012897966535468368,0.010474806858615746
2016-01-21,0.0038862281787711,0.00113814976565955,0.0009922071286805859,0.0055858517588886995,-0.006812216033610774
2016-01-22,0.03363123921770137,-0.004655791285644273,0.028542612686887868,0.020308263281423704,-0.0038220109633351983
2016-01-25,-0.01719412596811733,0.010233193541102439,-0.014951694297040994,-0.015231948750356265,0.005410295368398528
2016-01-26,0.014462619696785433,0.011341913483231932,0.008959172953989113,0.013550562749503855,0.00047617218156689343
2016-01-27,-0.0034245801793534886,0.0037212948296183107,-0.02523075737115825,-0.010942855158229696,-0.00023757119646125948
2016-01-28,0.015657460743069132,-0.0107362419293496,0.014019072156214868,0.005195868668030519,0.001426605725166119
2016-01-29,0.03190690288527061,0.0038408969118528882,0.020667250356672228,0.024084813226974693,0.00844087944307328
2016-02-01,-0.009531803982829027,0.010232704202856196,0.002685631656164927,-0.0003615474475554545,-0.0030660498866388777
2016-02-02,-0.03289995473764871,0.00037006835108891606,-0.02188332242445227,-0.01818641350751451,0.018381959841496404
2016-02-03,0.02793403676394165,0.010674654427775114,-0.0048084112480477545,0.005976698090639199,-0.008327598492867141
2016-02-04,0.007604474214966471,0.012009967818587527,-9.827294010737381e-05,0.0015673487259418135,0.004833728612055044
2016-02-05,-0.011595216264674385,0.015703135766193033,-0.03534439542133246,-0.019234095889092886,0.0011663500450476024
2016-02-08,-0.013756526952976654,0.013354185862515874,-0.015405238863528,-0.013552335676807237,0.021291012641449704
2016-02-09,-0.013947919764946876,-0.002198672852432284,-0.003110056837739942,5.3978321909036886e-05,0.0010641992746594658
2016-02-10,0.004102456140797217,0.007717958411726099,0.0038338935935901372,-0.000863123759698299,0.008773903446878248
2016-02-11,-0.01685910215760497,0.03940213823727399,-0.001448793948642852,-0.013093476264194421,0.0069790530868418035
2016-02-12,0.01720028984594163,-0.00589671453081662,0.015110536288825065,0.020407021018981546,-0.016741120630124628
2016-02-16,0.021926928700052962,-0.030800736245396157,0.022295881526665274,0.016737692939028992,-0.0106266913923152
2016-02-17,0.019494790606133933,0.006167287420776475,0.02239542826001721,0.016202534194012595,-0.0061681963467071785
2016-02-18,-0.005907186858969858,0.024041860433202913,-0.011480425599384964,-0.004103937490179587,0.012221733693229998
2016-02-19,-0.004618883852497558,-0.006020275750380445,0.0029563534349637995,-0.00046887016392987887,0.0008398359432480121
2016-02-22,0.0244988713903886,-0.01793504091705753,0.01610498194238831,0.014375267902756946,-0.0005344373565631816
2016-02-23,-0.021527242383747033,0.014868593832169054,-0.016597154929194738,-0.012709726015418163,0.004039399773069405
2016-02-24,-0.002310266167668983,0.003321549590506587,0.009503600722042031,0.004564840406984751,-0.00197948163984863
2016-02-25,0.0032990077197718832,0.002632341860518043,0.00980078205249012,0.012039362968245676,0.0035754828500208285
2016-02-26,-0.009930570720227657,-0.006892743647260338,-0.0012559476731782307,-0.0023041757086015072,-0.00969126193892779
2016-02-29,0.008612162846725288,0.012980023419282503,-0.009032189950126538,-0.007873027847075576,0.004361555762470434
2016-03-01,0.03500021941570345,-0.007360151335800538,0.03159314183130535,0.023234654406524502,-0.017765762426662116
2016-03-02,0.013287180155462625,0.007697256644730053,0.0003781995624721685,0.0044823844837201705,0.004118139589931146
2016-03-03,0.011250181856677196,0.017125877155555313,-0.0018917292321225896,0.003911889506164637,0.0036379583526280506
2016-03-04,0.019692890979441196,-0.0015750194994792542,0.0003786944937970546,0.0032483038703090945,-0.0064330201560186045
