Date,EEM,GLD,QQQ,SPY,TLT
2016-01-04,25.081514358520508,102.88999938964844,101.71729278564453,169.90814208984375,91.67972564697266
2016-01-05,25.13758659362793,103.18000030517578,101.54080963134766,170.19557189941406,91.30986022949219
2016-01-06,24.656946182250977,104.66999816894531,100.5654296875,168.04864501953125,92.54032135009766
2016-01-07,23.895933151245117,106.1500015258789,97.41638946533203,164.01693725585938,92.70641326904297
2016-01-08,23.63958740234375,105.68000030517578,96.61750793457031,162.216552734375,93.12155151367188
2016-01-11,23.631580352783203,104.73999786376953,96.91474151611328,162.37709045410156,92.10250854492188
2016-01-12,23.679643630981445,104.20999908447266,98.03873443603516,163.6873016357422,93.43107604980469
2016-01-13,23.43130874633789,104.72000122070312,94.657470703125,159.6047821044922,94.35208892822266
2016-01-14,23.735715866088867,103.0199966430664,96.67323303222656,162.2249755859375,93.46883392333984
2016-01-15,22.798460006713867,104.08000183105469,93.67280578613281,158.74264526367188,94.92572021484375
2016-01-19,23.13491439819336,103.9800033569336,93.87715911865234,158.95399475097656,94.63130187988281
2016-01-20,22.6302433013916,105.37000274658203,93.58920288085938,156.91697692871094,95.62776947021484
2016-01-21,22.718358993530273,105.48999786376953,93.68209838867188,157.7959747314453,94.97853088378906
2016-01-22,23.49539566040039,105.0,96.39456176757812,161.03326416015625,94.61621856689453
2016-01-25,23.09486198425293,106.08000183105469,94.96399688720703,158.59896850585938,95.12957763671875
2016-01-26,23.43130874633789,107.29000091552734,95.81861114501953,160.76278686523438,95.17483520507812
2016-01-27,23.351200103759766,107.69000244140625,93.43128204345703,159.0131072998047,95.1521987915039
2016-01-28,23.719696044921875,106.54000091552734,94.75035095214844,159.84140014648438,95.28804016113281
2016-01-29,24.488719940185547,106.94999694824219,96.72896575927734,163.73797607421875,96.09581756591797
2016-02-01,24.256412506103516,108.05000305175781,96.98905181884766,163.67880249023438,95.80155181884766
2016-02-02,23.471364974975586,108.08999633789062,94.88972473144531,160.72897338867188,97.57888793945312
2016-02-03,24.13625144958496,109.25,94.43453216552734,161.69252014160156,96.7696762084961
2016-02-04,24.320499420166016,110.56999969482422,94.42523956298828,161.9461212158203,97.23859405517578
2016-02-05,24.04012107849121,112.31999969482422,91.14614868164062,158.86094665527344,97.35204315185547
2016-02-08,23.711685180664062,113.83000183105469,89.75271606445312,156.7225799560547,99.44697570800781
2016-02-09,23.38324546813965,113.58000183105469,89.47406005859375,156.73101806640625,99.55287170410156
2016-02-10,23.47937774658203,114.45999908447266,89.8177719116211,156.5957794189453,100.43020629882812
2016-02-11,23.086849212646484,119.05999755859375,89.68771362304688,154.55877685546875,101.13356018066406
2016-02-12,23.487382888793945,118.36000061035156,91.05323791503906,157.74530029296875,99.45454406738281
2016-02-16,24.008079528808594,114.7699966430664,93.10615539550781,160.40777587890625,98.40331268310547
2016-02-17,24.480716705322266,115.4800033569336,95.2148208618164,163.02798461914062,97.79827117919922
2016-02-18,24.336517333984375,118.29000091552734,94.12796783447266,162.3602752685547,99.00077819824219
2016-02-19,24.2243709564209,117.58000183105469,94.40666198730469,162.2841339111328,99.08394622802734
2016-02-22,24.825170516967773,115.48999786376953,95.93937683105469,164.63388061523438,99.0309829711914
2016-02-23,24.29646873474121,117.22000122070312,94.36021423339844,162.5546417236328,99.43185424804688
2016-02-24,24.240394592285156,117.61000061035156,95.26126098632812,163.29844665527344,99.2352066040039
2016-02-25,24.320499420166016,117.91999816894531,96.1994857788086,165.27630615234375,99.59066772460938
2016-02-26,24.080177307128906,117.11000061035156,96.07872772216797,164.8959197998047,98.63018798828125
2016-02-29,24.288455963134766,118.63999938964844,95.2148208618164,163.60272216796875,99.06124877929688
2016-03-01,25.153610229492188,117.7699966430664,98.27099609375,167.44851684570312,97.31697082519531
2016-03-02,25.490062713623047,118.68000030517578,98.3081283569336,168.20079040527344,97.71855926513672
2016-03-03,25.778444290161133,120.7300033569336,98.1223373413086,168.8600616455078,98.07469940185547
2016-03-04,26.2911319732666,120.54000091552734,98.15950012207031,169.40948486328125,97.44572448730469
2016-03-07,26.251083374023438,121.13999938964844,97.55567932128906,169.54466247558594,97.41547393798828
2016-03-08,25.802480697631836,120.58000183105469,96.7475357055664,167.69361877441406,98.491455078125
2016-03-09,25.962690353393555,119.58000183105469,97.36991882324219,168.52200317382812,97.89281463623047
